city,party,leader,tweet,tweet_time
birmingham,,Nigel-Farage,RT @ReginaldALawso1: Nigel Farage and Brexit party vote against EU resolution to stop Russian election meddling https://t.co/PSRnhLXKeU,Fri Nov 29 14:41:58 +0000 2019
birmingham,,Nigel-Farage,RT @ReginaldALawso1: Nigel Farage and Brexit party vote against EU resolution to stop Russian election meddling https://t.co/PSRnhLXKeU,Fri Nov 29 14:36:55 +0000 2019
birmingham,,Nigel-Farage,RT @ReginaldALawso1: Nigel Farage and Brexit party vote against EU resolution to stop Russian election meddling https://t.co/PSRnhLXKeU,Fri Nov 29 14:08:31 +0000 2019
birmingham,,Nigel-Farage,RT @ReginaldALawso1: Nigel Farage and Brexit party vote against EU resolution to stop Russian election meddling https://t.co/PSRnhLXKeU,Fri Nov 29 14:06:24 +0000 2019
birmingham,,Nigel-Farage,Highlight of this year was Nigel Farage getting milkshakes thrown at him and having a fucking fit about it.,Fri Nov 29 14:03:28 +0000 2019
birmingham,,Nigel-Farage,"@Nigel_Farage Never mind that. At this rate, we are heading for a hung parliament and Brexit will be dead before Ch… https://t.co/rf9AsqCdxn",Fri Nov 29 13:58:53 +0000 2019
birmingham,,Nigel-Farage,@laidler22 @KarinLane12 @richwatts100 @Nigel_Farage Why would anyone want it to?,Fri Nov 29 13:43:51 +0000 2019
birmingham,,Nigel-Farage,RT @ReginaldALawso1: Nigel Farage and Brexit party vote against EU resolution to stop Russian election meddling https://t.co/PSRnhLXKeU,Fri Nov 29 13:40:51 +0000 2019
birmingham,,Nigel-Farage,RT @ReginaldALawso1: Nigel Farage and Brexit party vote against EU resolution to stop Russian election meddling https://t.co/PSRnhLXKeU,Fri Nov 29 13:39:48 +0000 2019
birmingham,,Nigel-Farage,RT @ReginaldALawso1: Nigel Farage and Brexit party vote against EU resolution to stop Russian election meddling https://t.co/PSRnhLXKeU,Fri Nov 29 13:38:13 +0000 2019
birmingham,,Nigel-Farage,"@Nigel_Farage @Ed_Miliband Lol, yes and I'm the next PM.",Fri Nov 29 13:35:51 +0000 2019
birmingham,,Nigel-Farage,RT @ReginaldALawso1: Nigel Farage and Brexit party vote against EU resolution to stop Russian election meddling https://t.co/PSRnhLXKeU,Fri Nov 29 13:31:31 +0000 2019
